comp_id,property_name,address,city,state,submarket,asset_class,sale_date,sale_price_usd,sf,price_per_sf,cap_rate,buyer,seller,source_feed
SOT_019,Renton MOB Center,400 S 43rd St,Renton,WA,South Sound,medical_office,2025-10-30,34800000,82000,424.39,6.45,Healthcare REIT Partners,Pacific Medical Group,Cherre
SOT_020,O'Hare Logistics Center,5500 N Mannheim Rd,Rosemont,IL,Chicago O'Hare Industrial,industrial,2025-09-12,82400000,408000,201.96,5.65,Prologis,Forge Industrial,CoStar
SOT_021,Bensenville Distribution,1140 Foster Ave,Bensenville,IL,Chicago O'Hare Industrial,industrial,2025-07-08,68400000,358000,191.06,5.70,Stonebridge Capital,Heartland Industrial,Reonomy
SOT_022,Elk Grove Industrial Park,2400 Higgins Rd,Elk Grove Village,IL,Chicago O'Hare Industrial,industrial,2025-11-14,54200000,290000,186.90,5.85,Prologis,Apex Realty,CoStar
SOT_023,Aurora Last-Mile Hub,2825 Bilter Rd,Aurora,IL,Chicago I-88 Corridor,industrial,2025-08-26,38800000,212000,183.02,5.95,Stonebridge Capital,Pinnacle Industrial,Cherre
SOT_024,Long Beach Container Yard,2200 E Anaheim St,Long Beach,CA,LA South Bay Industrial,industrial,2025-10-04,118400000,580000,204.14,4.95,Prologis,Pacific Holdings,CoStar
SOT_025,Carson Cross-Dock Center,1200 W Carson St,Carson,CA,LA South Bay Industrial,industrial,2025-07-21,98200000,488000,201.23,5.05,Rexford Industrial,Coastal Industrial,Reonomy
SOT_026,Vernon Logistics Hub,4800 Soto St,Vernon,CA,LA Central Industrial,industrial,2025-09-30,84500000,420000,201.19,5.10,Rexford Industrial,Forge Industrial,Cherre
SOT_027,Inland Empire Distribution,9000 Etiwanda Ave,Rancho Cucamonga,CA,Inland Empire West,industrial,2025-05-27,142800000,738000,193.50,4.85,Prologis,Mariner Industrial,CoStar
SOT_028,Hudson Yards East Tower,560 W 30th St,New York,NY,Hudson Yards,office,2025-06-30,415000000,825000,503.03,5.45,Sterling REIT,Park Avenue Partners,CoStar
SOT_029,Murray Hill Office Center,440 Park Ave S,New York,NY,Midtown South,office,2025-09-08,168500000,398000,423.37,5.85,Argent Capital,Highland Office Group,Reonomy
SOT_030,Long Island City Logistics,3402 Queens Blvd,Long Island City,NY,Queens Industrial,industrial,2025-10-19,72800000,355000,205.07,5.30,Prologis,Big Apple Industrial,Cherre
SOT_031,Bushwick Last-Mile,1240 Flushing Ave,Brooklyn,NY,Brooklyn Industrial,industrial,2025-08-12,48400000,242000,200.00,5.50,Rexford Industrial,Bridge Industrial,CoStar
SOT_032,Tribeca Loft Office,55 Hudson St,New York,NY,Tribeca,office,2025-11-22,98700000,210000,470.00,5.65,Boutique Office Trust,Hudson Office Group,Reonomy
SOT_033,Brooklyn Navy Yard South,141 Flushing Ave,Brooklyn,NY,Brooklyn Industrial,industrial,2025-04-08,128400000,640000,200.63,5.40,Prologis,Park Avenue Partners,CoStar
SOT_034,Phoenix Sky Harbor Industrial,4400 E University Dr,Phoenix,AZ,Phoenix Sky Harbor,industrial,2025-06-24,42800000,228000,187.72,5.80,Stonebridge Capital,Desert Industrial,Cherre
SOT_035,Tempe Tech Tower,1140 W Warner Rd,Tempe,AZ,Tempe,office,2025-09-19,68400000,288000,237.50,6.85,Argent Capital,Highland Office Group,CoStar
SOT_036,Doral Logistics Hub,8400 NW 21st St,Doral,FL,Doral Industrial,industrial,2025-08-05,72500000,358000,202.51,5.60,Prologis,Coastal Industrial,Reonomy
SOT_037,Hialeah Industrial Park,1840 W 4th Ave,Hialeah,FL,Miami Airport West,industrial,2025-11-30,38900000,198000,196.46,5.70,Stonebridge Capital,Mariner Industrial,CoStar
SOT_038,Coconut Grove Office Plaza,2911 Grand Ave,Miami,FL,Coconut Grove,office,2025-10-11,58200000,148000,393.24,6.05,Argent Capital,Vista Holdings,Reonomy
SOT_039,Aventura Multifamily Tower,19900 Biscayne Blvd,Aventura,FL,Aventura,multifamily,2025-07-15,124800000,420,297142.86,5.10,Camden Property Trust,Trillium Living,Cherre
SOT_040,Frisco Industrial Park,9100 Dallas Pkwy,Frisco,TX,North Dallas Industrial,industrial,2025-09-27,52400000,288000,181.94,5.95,Prologis,Heartland Industrial,CoStar
